"SHN_Id","Datnai","Sexe","Catlib","FedNom","Discipline","Club","DepLib","RegionLib","Fin de droits","Date début"
"shn11931","1991","F         ","Senior","JUDO","Judo","COS JUDO","YVELINES","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn11932","1981","F         ","Espoir","LUTTE","Lutte féminine","ST JOSEPH","MARTINIQUE","MARTINIQUE","10/31/2015","11/1/2014"
"shn11933","1999","M         ","Espoir","LUTTE","Lutte olympique libre","LC SAINT JOSEPH","REUNION","REUNION","10/31/2015","11/1/2014"
"shn11934","1992","M         ","Jeune","LUTTE","Lutte olympique gréco romaine","ST YRIEIX","HAUTE-VIENNE","LIMOUSIN","10/31/2015","11/1/2014"
"shn11935","1999","F         ","Espoir","MONTAGNE ET ESCALADE","Escalade","ASPTT NANTES","LOIRE-ATLANTIQUE","PAYS DE LA LOIRE","10/31/2015","11/1/2014"
"shn11936","1996","M         ","Jeune","ROLLER SPORTS","Roller Hockey","TRHC LES HOCKLINES","HAUTE-GARONNE","MIDI-PYRENEES","10/31/2015","11/1/2014"
"shn11937","1996","F         ","Jeune","TIR","Carabine","US ISSOIRIENNE","PUY-DE-DOME","AUVERGNE","10/31/2016","4/1/2015"
"shn11938","1994","M         ","Espoir","TENNIS","Tennis","ANNECY TENNIS","HAUTE-SAVOIE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn11939","1980","M         ","Senior","TENNIS","Tennis","AAJ BLOIS","LOIR-ET-CHER","CENTRE","10/31/2015","11/1/2014"
"shn11940","1985","F         ","Senior","TIR","Carabine","US ISSOIRIENNE","PUY-DE-DOME","AUVERGNE","10/31/2015","11/1/2014"
"shn11941","1996","M         ","Jeune","VOILE","Catamaran","56903 - C N SARZEAU","MORBIHAN","BRETAGNE","10/31/2015","11/1/2014"
"shn11942","1999","F         ","Jeune","VOLLEY BALL","Volley ball","VOLLEY-BALL NANTES","LOIRE-ATLANTIQUE","PAYS DE LA LOIRE","10/31/2015","11/1/2014"
"shn11943","1998","F         ","Espoir","VOLLEY BALL","Volley ball","VOLLEY BRON @ LYON LUMIERE","RHONE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn11944","1997","M         ","Jeune","GYMNASTIQUE","Gymnastique artistique","ALLIANCE ELAN GYMNIQUE MONTCEAU MONTCELLIENNE","SAONE-ET-LOIRE","BOURGOGNE","10/31/2015","11/1/2014"
"shn11945","1979","F         ","Elite","ATHLETISME","Concours","LYON ATHLETISME*","RHONE","RHONE-ALPES","10/31/2016","11/1/2014"
"shn11946","1994","F         ","Espoir","SPORT BOULES","Sport boules","AC BELFORT","TERRITOIRE DE BELFORT","FRANCHE-COMTE","10/31/2015","11/1/2014"
